"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ifih1",3.54438007119795e-24,4.79693069870091,0.243,0.013,4.79944505440915e-20
"Rpsa",3.90317057288236e-24,-0.502757862070552,0.95,0.964,5.28528327274e-20
"P2ry13",4.54945979331184e-24,-4.70528054025057,0.007,0.109,6.16042350612356e-20
"Apoa2",1.13904388104018e-23,-10.2038439475245,0,0.079,1.54237931931651e-19
"Irgm2",1.41657662041453e-23,2.95140344833563,0.296,0.048,1.91818640170331e-19
"BC094916",3.14920713979771e-23,2.12955168019137,0.393,0.125,4.26434138800008e-19
"Gm7331",3.26230836908468e-23,-1.09308109361725,0.903,0.944,4.41749176257757e-19
"Tapbp",7.02196330654625e-23,1.31273918537367,0.603,0.328,9.50844051339427e-19
"Rps8",8.78381120093466e-23,-0.540054807737064,0.919,0.962,1.18941587471856e-18
"Stat2",2.68411218584474e-22,2.83121371005376,0.282,0.046,3.63455631085237e-18
"Ifi44",3.83065266654958e-22,6.12485777909614,0.212,0.005,5.18708677577478e-18
"Gm6030",1.01200534179687e-21,-0.630521316104747,0.828,0.908,1.37035643332715e-17
"Gm6907",1.29911570783027e-21,2.83447508778591,0.275,0.046,1.75913257997296e-17
"Rpl8",1.71446697099095e-21,-0.52915316339179,0.983,0.995,2.32155972541885e-17
"Psmb8",6.19395170832417e-21,0.922533822175668,0.747,0.514,8.38723000824176e-17
"Gm12250",6.47606102984649e-21,2.39899523881423,0.314,0.076,8.76923424051513e-17
"Igfbp4",9.9850887994885e-21,-1.77617444997497,0.098,0.282,1.35208087433874e-16
"Rplp2-ps1",1.10055695492985e-20,-0.47488836600777,0.93,0.977,1.49026417267051e-16
"Gm13339",1.17095312457527e-20,-0.613160051959893,0.822,0.911,1.58558762598737e-16
"Ddx58",1.18605348354773e-20,1.8027758474913,0.354,0.102,1.60603502207198e-16
"Rac2",1.26375757790411e-20,-0.814603345679714,0.744,0.863,1.71125413623996e-16
"Trafd1",1.75242892804054e-20,3.0434095116311,0.266,0.046,2.3729640114597e-16
"Sp100",1.95942703859398e-20,1.07403272203858,0.609,0.341,2.6532601529601e-16
"Gbp9",3.28952875652554e-20,2.32477105918852,0.303,0.071,4.45435088921123e-16
"Pml",3.66557089977995e-20,2.06483598426724,0.336,0.097,4.96354955539204e-16
"Oas2",7.13996022612114e-20,4.42587685877536,0.208,0.013,9.66822014219063e-16
"Gm13408",8.12168752510715e-20,-0.51394868312022,0.886,0.957,1.09975770777476e-15
"Slfn2",8.94709203963749e-20,1.42121577679559,0.455,0.198,1.21152573308731e-15
"Psme1",1.02178873270615e-19,0.889090379252814,0.712,0.461,1.3836041229574e-15
"Apoe",1.9302821599187e-19,-4.17193194690578,0.013,0.109,2.61379507274591e-15
